,input,true,prediction
460,porulaagaum,பொருளாகும்,"பொருளாகாம்
"
461,akaththi,அகத்தி,"அகத்தி
"
462,seyyulgal,செய்யுள்கள்,"செய்யுள்கள்
"
463,oottappattullaarkal,ஊட்டப்பட்டுள்ளார்கள்,"சட்டப்பட்டுள்ளார்கள்
"
464,vaiththiyam,வைத்தியம்,"வைத்தியம்
"
465,matravargalthaan,மற்றவர்கள்தான்,"மற்றவர்கள்தான்
"
466,aegis,ஏஜிஸ்,"ஏகி
்
"
467,adangkiyulla,அடங்கியுள்ள,"அடங்கியுள்ள
"
468,appothe,அப்போதே,"அப்போத்
"
469,young,யங்,"யூங்
"
470,bhopal,போபால்,"போபால்
"
471,aangalaik,ஆண்களைக்,"ஆங்களைக்
"
472,panigalin,பணிகளின்,"பணிகளின்
"
473,moody,மூடி,"மூட்
"
474,azhaga,அழகா,"அழக
"
475,hendrix,ஹென்ட்ரிக்ஸ்,"ஹென்றிக்க்
"
476,kannoottatthil,கண்ணோட்டத்தில்,"கண்ணூட்டத்தில்
"
477,yakima,யகிமா,"யககிமா
"
478,saunders,சௌந்தர்ஸ்,"சாண்டர்்்
"
479,kulanggalaiyum,குளங்களையும்,"குஙங்களையும்
"
480,joliet,ஜோலியட்,ஜோலிி்ட்
481,valakkukalukku,வழக்குகளுக்கு,"வலக்குகளுக்கு
"
482,kurdu,குர்து,"குர்டு
"
483,thompson,தாம்ப்சன்,"தோம்ப்சன்
"
484,ariviththirunthathu,அறிவித்திருந்தது,"அறிவித்திருந்தது
"
485,viil,வீல்,"வில்
"
486,kavali,கவலை,"கவலிி
"
487,malarkalaiyum,மலர்களையும்,"மலர்களையும்
"
488,budaun,புதான்,"புடான்
"
489,nanmaikal,நன்மைகள்,"நண்மைகள்
"
490,naangalaum,நாங்களும்,"நாங்களூம்
"
491,twin,ட்வின்,"டுவின்
"
492,antioch,ஆன்டியோச்,"அண்டியோச்
"
493,veliyidappadavillai,வெளியிடப்படவில்லை,"வெளியிடப்படவில்லை
"
494,pandavargalil,பாண்டவர்களில்,"பண்டவர்களில்
"
495,alam,ஆலம்,"அலம்
"
496,sadaamudiyan,சடாமுடியன்,"சடாமுடியன்
"
497,parakkum,பறக்கும்,"பரக்கும்
"
498,saaiman,சைமன்,"சாய்மன்
"
499,valarppaith,வளா்ப்பைத்,"வளர்ப்பைத்
"
500,adadaa,அடடா,"அடடா
"
501,maadhangalilume,மாதங்களிலுமே,"மாதங்களிலுமே
"
502,yookam,யோகம்,"யூகம்
"
503,kurainthae,குறைந்தே,"குறைந்தே
"
504,tiwari,திவாரி,"திவாரி
"
505,padaiyaniyum,படையணியும்,"படையநியும்
"
506,palu,பளு,"பலு
"
507,sangamaga,சங்கமாக,"சங்கமக
"
508,muraimaikalai,முறைமைகளை,"முறைமைகளை
"
509,paduththiya,படுத்திய,"படுத்திய
"
510,vealaiyaiyum,வேலையையும்,"வேலையையும்
"
511,seiyappattiruntha,செய்யப்பட்டிருந்த,"செய்யப்பட்டிருந்த
"
512,ataher,அடஹெர்,"அதாதர்
"
513,neeroattaththil,நீரோட்டத்தில்,"நீரோட்டத்தில்
"
514,seiyalattiryavargalaiyum,செயலாற்றியவர்களையும்,"செய்யலட்டிரவரர்களையும்
"
515,avathikullaakuvaar,அவதிக்குள்ளாக்குவார்,"அவதிகுள்ளாகுவார்
"
516,adiittii,அதிதி,"அடிட்டிடி
"
517,esuppaaniya,எசுப்பானிய,"எசுப்பானிய
"
518,chuttik,சூட்டிக்,"சுட்டிக்
"
519,munaipunilaiyaaga,முனைப்புநிலையாக,"முனைபுணிலையாக
"
520,piramaandamaana,பிரமாண்டமான,"பிரமாண்டமான
"
521,communications,கம்யூனிகேஷன்ஸ்,கமம்னிச்ககககக்ன்
522,polaagivittadhey,போலாகிவிட்டதே,"பொலாகிவிட்டதெய்
"
523,nuraiyeeral,நுரையீரல்,"நுரையீரல்
"
524,inraikkum,இன்றைக்கும்,"இன்றைக்கும்
"
525,sandhiya,சந்தியா,"சந்திய
"
526,saemikkappattullathu,சேமிக்கப்பட்டுள்ளது,"சேமிக்கப்பட்டுள்ளது
"
527,shaji,ஷாஜி,"ஷாஜி
"
528,neemuch,நீமச்,"நீமுச்
"
529,yekspoa,எக்ஸ்போ,"யக்்்போ
"
530,arundhivittom,அருந்திவிட்டோம்,"அருந்திவிட்டம்
"
531,pannividuvaargalo,பண்ணிவிடுவார்களோ,"பண்ணிவிடுவார்களோ
"
532,siththaantha,சைவ,"சித்தாந்த
"
533,kavalaiyil,கவலையில்,"கவலையில்
"
534,forest,ஃபாரெஸ்ட்,"போர்ட்ட்
"
535,gupta,குப்தா,"குப்டா
"
536,padaththaiyum,படத்தையும்,"படத்தையும்
"
537,kuuttankalin,கூட்டங்களின்,"குட்டன்களின்
"
538,poattiyaandahu,போட்டியானது,"போட்டியாண்டது
"
539,thiran,திறன்,"திரன்
"
540,kkalin,க்களின்,"க்கலின்
"
541,daiie,டை,"டையே
"
542,padaithan,படைத்தான்,"படைத்தன்
"
543,peraniyil,பேரணியில்,"பெரணியில்
"
544,microsaaft,மைக்ரோசாப்ட்,"மிக்கோராப்ட்
"
545,mcclain,மெக்லன்,"ம்க்லைனன
"
546,pattakaararaana,பட்டகாரரான,"பட்டகாரரான
"
547,ithevealai,இதேவேளை,"இதேவேலை
"
548,vaippaargal,வைப்பார்கள்,"வைப்பார்கள்
"
549,naanaa,நானா,"நானா
"
550,nilainiruththum,நிலைநிறுத்தும்,"நிலைநிறுத்தும்
"
551,asooka,அசோகா,"அசூக
"
552,serndhu,சேர்ந்து,"செர்ந்து
"
553,medizensar,மெடிசென்ஸார்,"மெடிழென்சர்
"
554,nokkiye,நோக்கியே,"நோக்கியே
"
555,nadanthaalpothum,நடந்தால்போதும்,"நடந்தாள்பொதும்
"
556,murlidhar,முர்ளிதர்,"முர்லிதர்
"
557,malhotra,மல்ஹோத்ரா,"மழ்லோற்ர
"
558,doorling,டோர்லிங்,"டூர்லிங்
"
559,appaatal,அப்பாடல்,"அப்பாடல்
"
560,stanton,ஸ்டன்டான்,"ச்டா்்டன்
"
561,nerukkam,நெருக்கம்,"நேருக்கம்
"
562,aagivitum,ஆகிவிடும்,"ஆகிவிட்டும்
"
563,nadhe,நாதே,"நாதே
"
564,uyirmai,உயிர்மை,"உயிர்மை
"
565,holidays,ஹாலிடேஸ்,ஹோலிடாய்்்
566,quantumm,குவாண்டம்,"குாண்டும்
"
567,odisha,ஒடிசா,"ஒடிஷா
"
568,samayththa,சமைத்த,"சமய்த்த
"
569,ethuvaaka,எதுவாக,"எதுவாக
"
570,tharavai,தரவை,"தரவை
"
571,maheshwari,மஹேஸ்வரி,"மஹேஷ்வரரி
"
572,vazhi,நல்ல,"வழி
"
573,rswm,ஆர்எஸ்டபிள்யூஎம்,"ர்வ்வ்
"
574,thamiram,தாமிரம்,"தமிரம்
"
575,vittuvaiththirundhaar,விட்டுவைத்திருந்தார்,"விட்டுவைத்திருந்தார்
"
576,parimaatramum,பரிமாற்றமும்,"பரிமாற்றமும்
"
577,pannum,பண்ணும்,"பண்ணும்
"
578,davangere,தாவங்கரே,"டேங்கேர்
"
579,theeni,தீனி,"தீனி
"
580,raymond,ரேமண்ட்,"ராம்ன்ட்
"
581,visaikalai,விசைகளை,"விசைகளை
"
582,munger,முங்கர்,"முங்கேர்
"
583,vilaiyaadik,விளையாடிக்,"விளையாடிக்
"
584,chirutai,சீருடை,"சிருட்டை
"
585,paduththiyullathu,படுத்தியுள்ளது,"படுத்தியுள்ளது
"
586,thandanaiyilirunthu,தண்டனையிலிருந்து,"தண்டனையிலிருந்து
"
587,alavukatandhdha,அளவுகடந்த,"அளவுகட்ந்த
"
588,kavalaippadum,கவலைப்படும்,"கவலைப்படும்
"
589,ivvaiyellaam,இவையெல்லாம்,"இவ்வையெல்லாம்
"
590,maalik,மாலிக்,"மாலிக்
"
591,santharppankalai,சந்தர்ப்பங்களை,"சந்தர்ப்பண்களை
"
592,munmaadhiri,முன்மாதிரி,"முன்மாதிரி
"
593,puuna,பூனா,"பூன
"
594,bhalla,பல்லா,"பா்லா
"
595,mugaamgal,முகாம்கள்,"முகாம்கள்
"
596,garrison,காரிசன்,கரரரிசன்்
597,uruyaagak,உறுயாகக்,"உருயாகக்
"
598,aangalitam,ஆண்களிடம்,"ஆங்களிடம்
"
599,akzo,அக்சோ,"அக்கோ
"
600,mumbai,மும்பை,"மும்பை
"
601,vadikal,வடிகால்,"வடிகள்
"
602,vealaiyin,வேலையின்,"வேலையின்
"
603,sundhari,சுந்தரி,"சுந்தரி
"
604,pogap,போகப்,"பொகப்
"
605,gauuld,கோல்ட்,"காு்ட்
"
606,aadugalil,ஆடுகளில்,"ஆடுகளில்
"
607,en,ஆன்,"என்
"
608,thondriyathaal,தோன்றியதால்,"தொன்றியதால்
"
609,aggarwal,அகர்வால்,"அக்கர்வல்
"
610,uruppugalukkum,உறுப்புகளுக்கும்,"உறுப்புகளுக்கும்
"
611,thalangkalil,பிற,"தளங்களில்
"
612,inaiyaanadhu,இணையானது,"இணையானது
"
613,himachal,ஹிமாச்சல்,"ஹிமச்சல்
"
